imputer,model,ACC,F1,AUC
mean,logreg,0.8512820512820513,0.9036699737274765,
mean,rf,0.8948717948717949,0.9328054173572138,
mean,gbr,0.9179487179487179,0.9462506064233432,
mean,svm,0.8794871794871794,0.9263619327672739,
median,logreg,0.8512820512820513,0.9036699737274765,
median,rf,0.8948717948717949,0.9328054173572138,
median,gbr,0.9179487179487179,0.9462506064233432,
median,svm,0.8794871794871794,0.9263619327672739,
knn,logreg,0.8512820512820513,0.9036699737274765,
knn,rf,0.8948717948717949,0.9328054173572138,
knn,gbr,0.9179487179487179,0.9462506064233432,
knn,svm,0.8794871794871794,0.9263619327672739,
iter,logreg,0.8512820512820513,0.9036699737274765,
iter,rf,0.8948717948717949,0.9328054173572138,
iter,gbr,0.9179487179487179,0.9462506064233432,
iter,svm,0.8794871794871794,0.9263619327672739,
